secid,date,cp_flag,index_flag,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,volume,open_interest
108105,15/12/2017,P,1,64881510,SPX,9999,32768,,A,,994590,8545121
108105,18/12/2017,,1,64881510,SPX,9999,32768,,A,,1438544,12777223
108105,18/12/2017,C,1,64881510,SPX,9999,32768,,A,,611705,4101987
108105,18/12/2017,P,1,64881510,SPX,9999,32768,,A,,826839,8675236
108105,19/12/2017,,1,64881510,SPX,9999,32768,,A,,1196360,12937514
108105,19/12/2017,C,1,64881510,SPX,9999,32768,,A,,436778,4183013
108105,19/12/2017,P,1,64881510,SPX,9999,32768,,A,,759582,8754501
108105,20/12/2017,,1,64881510,SPX,9999,32768,,A,,1175559,13404218
108105,20/12/2017,C,1,64881510,SPX,9999,32768,,A,,408881,4326584
108105,20/12/2017,P,1,64881510,SPX,9999,32768,,A,,766678,9077634
108105,21/12/2017,,1,64881510,SPX,9999,32768,,A,,990769,13554557
108105,21/12/2017,C,1,64881510,SPX,9999,32768,,A,,394214,4362494
108105,21/12/2017,P,1,64881510,SPX,9999,32768,,A,,596555,9192063
108105,22/12/2017,,1,64881510,SPX,9999,32768,,A,,981470,13914151
108105,22/12/2017,C,1,64881510,SPX,9999,32768,,A,,318471,4477431
108105,22/12/2017,P,1,64881510,SPX,9999,32768,,A,,662999,9436720
108105,26/12/2017,,1,64881510,SPX,9999,32768,,A,,788577,13390896
108105,26/12/2017,C,1,64881510,SPX,9999,32768,,A,,299722,4273426
108105,26/12/2017,P,1,64881510,SPX,9999,32768,,A,,488855,9117470
108105,27/12/2017,,1,64881510,SPX,9999,32768,,A,,887024,13499160
108105,27/12/2017,C,1,64881510,SPX,9999,32768,,A,,304255,4308905
108105,27/12/2017,P,1,64881510,SPX,9999,32768,,A,,582769,9190255
108105,28/12/2017,,1,64881510,SPX,9999,32768,,A,,876989,13607979
108105,28/12/2017,C,1,64881510,SPX,9999,32768,,A,,272071,4336761
108105,28/12/2017,P,1,64881510,SPX,9999,32768,,A,,604918,9271218
108105,29/12/2017,,1,64881510,SPX,9999,32768,,A,,1285008,13938875
108105,29/12/2017,C,1,64881510,SPX,9999,32768,,A,,381347,4420635
108105,29/12/2017,P,1,64881510,SPX,9999,32768,,A,,903661,9518240
108105,02/01/2018,,1,64881510,SPX,9999,32768,,A,,1175948,12635509
108105,02/01/2018,C,1,64881510,SPX,9999,32768,,A,,376884,3977228
108105,02/01/2018,P,1,64881510,SPX,9999,32768,,A,,799064,8658281
108105,03/01/2018,,1,64881510,SPX,9999,32768,,A,,1515091,12814284
108105,03/01/2018,C,1,64881510,SPX,9999,32768,,A,,675053,4028466
108105,03/01/2018,P,1,64881510,SPX,9999,32768,,A,,840038,8785818
108105,04/01/2018,,1,64881510,SPX,9999,32768,,A,,1521983,13090551
108105,04/01/2018,C,1,64881510,SPX,9999,32768,,A,,729025,4137454
108105,04/01/2018,P,1,64881510,SPX,9999,32768,,A,,792958,8953097
108105,05/01/2018,,1,64881510,SPX,9999,32768,,A,,1639490,13713330
108105,05/01/2018,C,1,64881510,SPX,9999,32768,,A,,593766,4407522
108105,05/01/2018,P,1,64881510,SPX,9999,32768,,A,,1045724,9305808
108105,08/01/2018,,1,64881510,SPX,9999,32768,,A,,1324302,13614016
108105,08/01/2018,C,1,64881510,SPX,9999,32768,,A,,529919,4417826
108105,08/01/2018,P,1,64881510,SPX,9999,32768,,A,,794383,9196190
108105,09/01/2018,,1,64881510,SPX,9999,32768,,A,,1293931,13895298
108105,09/01/2018,C,1,64881510,SPX,9999,32768,,A,,534417,4496315
108105,09/01/2018,P,1,64881510,SPX,9999,32768,,A,,759514,9398983
108105,10/01/2018,,1,64881510,SPX,9999,32768,,A,,1172116,14382321
108105,10/01/2018,C,1,64881510,SPX,9999,32768,,A,,382186,4651744
108105,10/01/2018,P,1,64881510,SPX,9999,32768,,A,,789930,9730577
108105,11/01/2018,,1,64881510,SPX,9999,32768,,A,,1585545,14668684
108105,11/01/2018,C,1,64881510,SPX,9999,32768,,A,,759683,4714552
108105,11/01/2018,P,1,64881510,SPX,9999,32768,,A,,825862,9954132
108105,12/01/2018,,1,64881510,SPX,9999,32768,,A,,1928574,15239603
108105,12/01/2018,C,1,64881510,SPX,9999,32768,,A,,823837,4975444
108105,12/01/2018,P,1,64881510,SPX,9999,32768,,A,,1104737,10264159
108105,16/01/2018,,1,64881510,SPX,9999,32768,,A,,2047274,15091384
108105,16/01/2018,C,1,64881510,SPX,9999,32768,,A,,886625,4934969
108105,16/01/2018,P,1,64881510,SPX,9999,32768,,A,,1160649,10156415
108105,17/01/2018,,1,64881510,SPX,9999,32768,,A,,2294918,15582095
108105,17/01/2018,C,1,64881510,SPX,9999,32768,,A,,956158,5125555
108105,17/01/2018,P,1,64881510,SPX,9999,32768,,A,,1338760,10456540
108105,18/01/2018,,1,64881510,SPX,9999,32768,,A,,1666555,16334773
108105,18/01/2018,C,1,64881510,SPX,9999,32768,,A,,718644,5345389
108105,18/01/2018,P,1,64881510,SPX,9999,32768,,A,,947911,10989384
108105,19/01/2018,,1,64881510,SPX,9999,32768,,A,,1253068,13832756
108105,19/01/2018,C,1,64881510,SPX,9999,32768,,A,,432919,4599400
108105,19/01/2018,P,1,64881510,SPX,9999,32768,,A,,820149,9233356
108105,22/01/2018,,1,64881510,SPX,9999,32768,,A,,1462189,14010993
108105,22/01/2018,C,1,64881510,SPX,9999,32768,,A,,580181,4644414
108105,22/01/2018,P,1,64881510,SPX,9999,32768,,A,,882008,9366579
108105,23/01/2018,,1,64881510,SPX,9999,32768,,A,,1701240,14359161
108105,23/01/2018,C,1,64881510,SPX,9999,32768,,A,,884634,4758257
108105,23/01/2018,P,1,64881510,SPX,9999,32768,,A,,816606,9600904
108105,24/01/2018,,1,64881510,SPX,9999,32768,,A,,1626038,14897316
